"filename", "language", "JSON", "C#", "XML", "Docker", "Markdown", "Dotenv", "JavaScript", "JavaScript JSX", "PostCSS", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\css\Login.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 14, 114
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\css\Notification.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\css\PedidoPublico.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 4, 46, 256
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\css\Productos.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 27, 184
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\css\Register.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\css\ReportesVentas.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 22, 140
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\css\SalesChart.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 6, 7, 31
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\css\Venta.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 14, 43, 289
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 36, 233
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\layouts\MainLayout.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 10, 78
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\layouts\MainLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\layouts\Sidebar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 19, 159
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\layouts\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 9, 60
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\layouts\Topbar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 14, 90
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\layouts\Topbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 8, 56
